t_index 	term                	df 
400     	anchor              	8  
401     	anchorag            	2  
402     	anchorman           	3  
403     	ancient             	4  
404     	andean              	6  
405     	anderson            	4  
406     	andi                	5  
407     	andjelkov           	1  
408     	andoslavia          	1  
409     	andr                	48 
410     	andrea              	14 
411     	andrei              	2  
412     	andrew              	15 
413     	andrik              	1  
414     	anew                	7  
415     	angel               	13 
416     	anger               	46 
417     	angl                	12 
418     	anglican            	1  
419     	angri               	27 
420     	angrili             	4  
421     	anguish             	8  
422     	anim                	2  
423     	animist             	2  
424     	animos              	11 
425     	anjai               	1  
426     	anjana              	1  
427     	anjar               	6  
428     	ank                 	2  
429     	ankl                	9  
430     	ann                 	11 
431     	anna                	21 
432     	annabel             	1  
433     	annacon             	1  
434     	annan               	13 
435     	anniversari         	15 
436     	annoi               	1  
437     	announc             	136
438     	annoy               	1  
439     	annual              	18 
440     	annul               	11 
441     	anomali             	1  
442     	anonym              	63 
443     	answer              	51 
444     	antagon             	1  
445     	antasiaovich        	1  
446     	antenna             	2  
447     	anthem              	6  
448     	anthoni             	27 
449     	anthropologist      	2  
450     	anti                	85 
451     	antiballist         	1  
452     	antibiot            	5  
453     	anticip             	17 
454     	anticlimact         	1  
455     	antonia             	6  
456     	antonin             	1  
457     	antonio             	26 
458     	anwar               	4  
459     	anxieti             	3  
460     	anxiou              	11 
461     	anxious             	2  
462     	anytim              	4  
463     	aon                 	1  
464     	ap                  	21 
465     	apart               	40 
466     	apec                	4  
467     	apex                	1  
468     	apolit              	1  
469     	apolog              	18 
470     	appal               	1  
471     	appallingli         	1  
472     	appar               	100
473     	apparatu            	7  
474     	appeal              	95 
475     	appear              	176
476     	appel               	1  
477     	appetit             	2  
478     	appl                	3  
479     	applaud             	10 
480     	applaus             	8  
481     	appleton            	2  
482     	appli               	18 
483     	applic              	16 
484     	appoint             	68 
485     	appointe            	3  
486     	apprais             	2  
487     	appreci             	9  
488     	apprehend           	4  
489     	apprehens           	2  
490     	apprentic           	3  
491     	appris              	1  
492     	approach            	49 
493     	appropri            	6  
494     	approv              	25 
495     	april               	67 
496     	aprista             	4  
497     	apron               	1  
498     	aquil               	2  
499     	ar                  	5  
500     	arab                	61 
501     	arabi               	1  
502     	arabia              	71 
503     	arabian             	44 
504     	arafat              	16 
505     	arantxa             	3  
506     	arazi               	7  
507     	arbadi              	1  
508     	arbit               	1  
509     	arbitrari           	2  
510     	arbitrarili         	1  
511     	arc                 	1  
512     	arch                	2  
513     	archaeolog          	2  
514     	archbishop          	4  
515     	archer              	1  
516     	archeri             	4  
517     	archetyp            	1  
518     	archi               	5  
519     	archibald           	1  
520     	architect           	7  
521     	architectur         	4  
522     	arctic              	6  
523     	ardent              	4  
524     	arduou              	1  
525     	area                	186
526     	arena               	22 
527     	aretz               	1  
528     	argentin            	1  
529     	argentina           	10 
530     	argu                	45 
531     	arguabl             	2  
532     	argument            	18 
533     	ari                 	1  
534     	arid                	5  
535     	arif                	1  
536     	arisen              	1  
537     	arithmet            	1  
538     	aritomi             	4  
539     	ariz                	8  
540     	arizona             	7  
541     	ark                 	8  
542     	arkadelphia         	1  
543     	arkan               	1  
544     	arkansa             	28 
545     	arkin               	2  
546     	arleigh             	3  
547     	arlen               	2  
548     	arlington           	8  
549     	arm                 	133
550     	armament            	2  
551     	armbrist            	1  
552     	armei               	1  
553     	armenia             	2  
554     	armi                	136
555     	armitag             	1  
556     	armor               	17 
557     	armori              	3  
558     	arn                 	3  
559     	arnaud              	17 
560     	arni                	1  
561     	arno                	1  
562     	arnold              	3  
563     	arnot               	1  
564     	aros                	5  
565     	arous               	1  
566     	arrai               	6  
567     	arraign             	2  
568     	arrang              	38 
569     	arrear              	1  
570     	arrest              	109
571     	arriv               	180
572     	arrog               	3  
573     	arrow               	4  
574     	arsen               	10 
575     	arseni              	1  
576     	arsonist            	1  
577     	art                 	10 
578     	artfulli            	1  
579     	arthriti            	1  
580     	arthur              	4  
581     	articl              	5  
582     	articul             	1  
583     	artifact            	1  
584     	artifici            	4  
585     	artist              	4  
586     	artudo              	1  
587     	arturo              	6  
588     	aruba               	2  
589     	aryapov             	1  
590     	asa                 	1  
591     	asahi               	1  
592     	ascend              	1  
593     	ascrib              	4  
594     	asean               	1  
595     	ash                 	5  
596     	asham               	1  
597     	ashcroft            	56 
598     	ashkroft            	1  
599     	ashok               	1  
600     	ashor               	2  
601     	ashraf              	1  
602     	ashtrai             	1  
603     	asia                	32 
604     	asian               	15 
605     	asid                	1  
606     	ask                 	138
607     	aspect              	11 
608     	aspir               	2  
609     	assad               	1  
610     	assail              	4  
611     	assam               	6  
612     	assassin            	21 
613     	assault             	28 
614     	assembl             	19 
615     	assert              	17 
616     	assess              	48 
617     	asset               	10 
618     	assign              	24 
619     	assist              	76 
620     	associ              	62 
621     	assort              	1  
622     	assum               	38 
623     	assumpt             	7  
624     	assur               	35 
625     	assuredli           	2  
626     	astakhov            	12 
627     	asterisk            	2  
628     	astonish            	7  
629     	astound             	2  
630     	astronom            	1  
631     	astut               	1  
632     	asylum              	29 
633     	asymmetr            	2  
634     	at                  	4  
635     	atal                	13 
636     	atck                	2  
637     	atf                 	2  
638     	atfein              	1  
639     	ath                 	1  
640     	athal               	1  
641     	athlet              	3  
642     	atlant              	15 
643     	atlanta             	6  
644     	atmat               	1  
645     	atmospher           	10 
646     	atom                	4  
647     	atop                	13 
648     	atp                 	3  
649     	atroc               	10 
650     	atrophi             	1  
651     	attach              	15 
652     	attack              	306
653     	attain              	1  
654     	attar               	1  
655     	attempt             	112
656     	attend              	68 
657     	attent              	64 
658     	attest              	2  
659     	attitud             	10 
660     	attornei            	58 
661     	attract             	15 
662     	attribut            	12 
663     	attrit              	1  
664     	atwan               	1  
665     	aubrei              	19 
666     	aubri               	5  
667     	audienc             	16 
668     	audio               	4  
669     	audiotap            	1  
670     	auditor             	5  
671     	auditorium          	1  
672     	aug                 	33 
673     	augment             	1  
674     	august              	32 
675     	aunt                	2  
676     	aur                 	5  
677     	aura                	1  
678     	aurora              	4  
679     	ausi                	1  
680     	aussi               	9  
681     	auster              	2  
682     	austin              	18 
683     	australia           	23 
684     	australian          	72 
685     	austria             	3  
686     	austrian            	1  
687     	austro              	1  
688     	authent             	2  
689     	author              	255
690     	authoritarian       	27 
691     	auto                	1  
692     	autocrat            	27 
693     	autograph           	1  
694     	autom               	1  
695     	automat             	18 
696     	automobil           	4  
697     	autonom             	1  
698     	autonomi            	3  
699     	autopilot           	1  
700     	autopsi             	1  
701     	autumn              	2  
702     	av                  	1  
703     	avail               	3  
704     	avala               	1  
705     	avalanch            	1  
706     	aveng               	7  
707     	avent               	1  
708     	avenu               	4  
709     	averag              	14 
710     	avert               	6  
711     	aviat               	3  
712     	aviv                	4  
713     	avner               	2  
714     	avoid               	59 
715     	avow                	1  
716     	aw                  	12 
717     	awad                	2  
718     	await               	27 
719     	awaken              	2  
720     	awar                	18 
721     	award               	9  
722     	aweigh              	1  
723     	awkward             	4  
724     	awn                 	4  
725     	awok                	1  
726     	ax                  	1  
727     	axam                	1  
728     	ay                  	2  
729     	ayatollah           	1  
730     	aykroyd             	1  
731     	ayman               	5  
732     	aynaoui             	1  
733     	ayr                 	1  
734     	ayyam               	2  
735     	az                  	1  
736     	aziz                	1  
737     	azul                	1  
738     	azulai              	2  
739     	b10202000           	1  
740     	b2                  	1  
741     	b92                 	2  
742     	ba                  	2  
743     	babenko             	2  
744     	babi                	14 
745     	babkin              	6  
746     	baboa               	1  
747     	back                	74 
748     	backa               	1  
749     	backbo              	1  
750     	backcourt           	1  
751     	backdrop            	4  
752     	backer              	14 
753     	backfir             	5  
754     	background          	4  
755     	backhand            	14 
756     	backho              	1  
757     	backlash            	3  
758     	backstop            	2  
759     	backup              	2  
760     	backward            	3  
761     	backyard            	1  
762     	bacon               	18 
763     	bad                 	39 
764     	badawi              	1  
765     	badg                	3  
766     	badli               	39 
767     	badrasen            	5  
768     	baffl               	2  
769     	bag                 	14 
770     	bagad               	1  
771     	baggag              	1  
772     	baghbel             	1  
773     	baghdad             	2  
774     	bahg                	5  
775     	bahrain             	35 
776     	bai                 	8  
777     	baijubahi           	2  
778     	bail                	4  
779     	bailei              	6  
780     	baird               	1  
781     	bairnt              	1  
782     	bait                	1  
783     	bakarec             	3  
784     	bake                	2  
785     	baken               	1  
786     	baker               	5  
787     	bakhshish           	1  
788     	bakri               	5  
789     	balanc              	21 
790     	balawat             	1  
791     	balcacer            	2  
792     	balconi             	11 
793     	bald                	1  
794     	balint              	1  
795     	balk                	4  
796     	balkan              	25 
797     	ball                	30 
798     	ballard             	1  
799     	ballast             	2  
800     	ballena             	1  
801     	ballist             	2  
802     	ballo               	1  
803     	balloon             	3  
804     	ballot              	72 
805     	ballroom            	2  
806     	balonia             	1  
807     	balsamo             	1  
808     	baltimor            	3  
809     	baltin              	1  
810     	bamba               	3  
811     	bambi               	1  
812     	bamboo              	4  
813     	bament              	1  
814     	ban                 	24 
815     	banco               	1  
816     	band                	11 
817     	bandag              	8  
818     	bandanna            	3  
819     	bandit              	1  
820     	bang                	7  
821     	bangalor            	1  
822     	bangaru             	3  
823     	bangladesh          	5  
824     	bank                	69 
825     	banker              	10 
826     	bankrupt            	5  
827     	bankruptci          	4  
828     	banner              	9  
829     	bannon              	1  
830     	banquet             	1  
831     	baptist             	6  
832     	bar                 	54 
833     	barak               	9  
834     	barb                	4  
835     	barbar              	2  
836     	barbara             	24 
837     	barber              	1  
838     	barbershop          	1  
839     	barcelona           	1  
840     	bare                	46 
841     	barefacedli         	1  
842     	barent              	36 
843     	barg                	3  
844     	bargain             	9  
845     	bari                	1  
846     	bark                	1  
847     	barkina             	2  
848     	barkolla            	1  
849     	barkova             	3  
850     	barna               	4  
851     	barnei              	1  
852     	barnstorm           	1  
853     	barot               	1  
854     	barov               	1  
855     	barr                	2  
856     	barrack             	35 
857     	barrag              	2  
858     	barrel              	2  
859     	barrera             	2  
860     	barri               	1  
861     	barricad            	18 
862     	barrier             	12 
863     	bartlett            	1  
864     	barua               	5  
865     	base                	188
866     	basebal             	5  
867     	baselin             	16 
868     	basement            	1  
869     	basher              	1  
870     	bashraheel          	1  
871     	bashrahel           	1  
872     	basi                	15 
873     	basic               	43 
874     	basilica            	1  
875     	bask                	2  
876     	basket              	3  
877     	basketbal           	1  
878     	basset              	1  
879     	bassiouni           	1  
880     	bastion             	6  
881     	batch               	1  
882     	bath                	4  
883     	bathroom            	3  
884     	bathtub             	1  
885     	batic               	2  
886     	baton               	4  
887     	battalion           	3  
888     	batten              	1  
889     	batter              	8  
890     	batteri             	2  
891     	battl               	78 
892     	battlefield         	4  
893     	battleground        	8  
894     	bauman              	6  
895     	bautista            	1  
896     	bavaria             	1  
897     	bazaar              	1  
898     	bbc                 	29 
899     	be                  	1  
900     	beach               	17 
901     	beachfront          	1  
902     	bead                	1  
903     	beal                	1  
904     	beam                	14 
905     	bean                	3  
906     	bear                	23 
907     	beard               	20 
908     	bearer              	2  
909     	beat                	79 
910     	beaten              	31 
911     	beater              	3  
912     	beaumont            	1  
913     	beauti              	6  
914     	beaver              	1  
915     	becausec            	1  
916     	beci                	2  
917     	becker              	1  
918     	bed                 	35 
919     	bedanova            	2  
920     	bedi                	12 
921     	bedouin             	1  
922     	bedroom             	6  
923     	bedsheet            	1  
924     	beef                	6  
925     	beer                	2  
926     	befit               	1  
927     	befriend            	1  
928     	befuddl             	1  
929     	beg                 	4  
930     	began               	156
931     	beggar              	1  
932     	begun               	31 
933     	behalf              	8  
934     	behan               	1  
935     	behari              	3  
936     	behav               	9  
937     	behavior            	11 
938     	beholden            	3  
939     	beij                	3  
940     	beirut              	9  
941     	bekki               	3  
942     	belaru              	1  
943     	belch               	1  
944     	beleagu             	3  
945     	belgian             	5  
946     	belgium             	6  
947     	belgrad             	100
948     	beli                	1  
949     	belida              	3  
950     	belief              	17 
951     	believ              	180
952     	belittl             	1  
953     	bell                	4  
954     	belliger            	1  
955     	belong              	31 
956     	belov               	5  
957     	belt                	8  
958     	bema                	2  
959     	bemoan              	1  
960     	ben                 	5  
961     	bench               	4  
962     	benchmark           	1  
963     	bend                	2  
964     	beneath             	31 
965     	benefactor          	2  
966     	benefici            	1  
967     	beneficiari         	1  
968     	benefit             	17 
969     	benevol             	7  
970     	benign              	1  
971     	benin               	8  
972     	benito              	1  
973     	benjamin            	2  
974     	bennett             	1  
975     	benni               	1  
976     	bent                	13 
977     	benton              	1  
978     	bequeath            	1  
979     	berat               	1  
980     	bere                	1  
981     	beresich            	1  
982     	beretta             	1  
983     	bergen              	1  
984     	berger              	25 
985     	berlin              	8  
986     	bernstein           	2  
987     	bershard            	1  
988     	bershevski          	1  
989     	berth               	2  
990     	beschloss           	1  
991     	beset               	2  
992     	besieg              	4  
993     	bespectacl          	2  
994     	best                	1  
995     	bet                 	5  
996     	beta                	8  
997     	beth                	1  
998     	betrai              	2  
999     	betray              	2  
1000    	betrisia            	1  
1001    	bevan               	1  
1002    	beveneari           	1  
1003    	bewild              	1  
1004    	bhaba               	2  
1005    	bhachau             	4  
1006    	bhagat              	1  
1007    	bhakta              	1  
1008    	bharatiya           	3  
1009    	bharpi              	3  
1010    	bhaskar             	5  
1011    	bhat                	1  
1012    	bhatt               	1  
1013    	bhavesh             	1  
1014    	bhowmik             	1  
1015    	bhug                	1  
1016    	bhuj                	33 
1017    	bia                 	1  
1018    	biafran             	2  
1019    	biarritz            	3  
1020    	bias                	8  
1021    	bibl                	4  
1022    	biblic              	1  
1023    	bicker              	3  
1024    	bicycl              	5  
1025    	bid                 	50 
1026    	bidanora            	1  
1027    	big                 	76 
1028    	bigger              	8  
1029    	biggest             	39 
1030    	bigot               	1  
1031    	bihari              	10 
1032    	bilater             	8  
1033    	bilingu             	1  
1034    	bill                	68 
1035    	billboard           	2  
1036    	billet              	1  
1037    	billi               	4  
1038    	billion             	59 
1039    	billionair          	9  
1040    	billow              	13 
1041    	biltera             	1  
1042    	bimal               	2  
1043    	bin                 	87 
1044    	bind                	5  
1045    	bindra              	3  
1046    	bingaman            	2  
1047    	bingo               	1  
1048    	binocular           	5  
1049    	bio                 	1  
1050    	biogeneticist       	1  
1051    	biograph            	3  
1052    	biographi           	4  
1053    	biolog              	4  
1054    	bion                	1  
1055    	bipartisan          	2  
1056    	bipartisanship      	1  
1057    	bird                	3  
1058    	birger              	1  
1059    	birth               	9  
1060    	birthdai            	6  
1061    	birthmark           	1  
1062    	birthplac           	1  
1063    	biscuit             	3  
1064    	bishop              	2  
1065    	bit                 	46 
1066    	bite                	2  
1067    	biter               	1  
1068    	bitka               	1  
1069    	bitten              	1  
1070    	bitter              	20 
1071    	bitterli            	10 
1072    	bittersweet         	2  
1073    	biw                 	1  
1074    	bizarr              	10 
1075    	bjorn               	1  
1076    	black               	58 
1077    	blacken             	4  
1078    	blackmail           	5  
1079    	blackout            	4  
1080    	blade               	1  
1081    	blair               	15 
1082    	blakemor            	1  
1083    	blame               	56 
1084    	blanchard           	1  
1085    	blanco              	7  
1086    	bland               	1  
1087    	blanda              	1  
1088    	blank               	3  
1089    	blanket             	35 
1090    	blankli             	2  
1091    	blare               	1  
1092    	blast               	109
1093    	blatant             	2  
1094    	blaze               	6  
1095    	bleach              	1  
1096    	bleacher            	1  
1097    	bleak               	1  
1098    	bled                	1  
1099    	bleed               	2  
1100    	blemish             	1  
1101    	blend               	4  
1102    	bless               	9  
1103    	blew                	42 
1104    	blind               	8  
1105    	blindli             	5  
1106    	blink               	3  
1107    	blister             	2  
1108    	blitz               	1  
1109    	blitzer             	1  
1110    	blizzard            	5  
1111    	bloat               	4  
1112    	bloc                	7  
1113    	block               	83 
1114    	blockad             	15 
1115    	blocker             	1  
1116    	blocki              	1  
1117    	blokosso            	1  
1118    	blond               	6  
1119    	blood               	34 
1120    	bloodbath           	2  
1121    	bloodi              	8  
1122    	bloodiest           	1  
1123    	bloodless           	2  
1124    	bloodsh             	9  
1125    	bloodstain          	1  
1126    	bloomberg           	1  
1127    	bloomer             	1  
1128    	blous               	1  
1129    	blow                	25 
1130    	blown               	11 
1131    	blowtorch           	1  
1132    	blue                	46 
1133    	blueprint           	11 
1134    	bluf                	5  
1135    	blunk               	1  
1136    	blunt               	2  
1137    	bluntli             	2  
1138    	blur                	2  
1139    	blurb               	1  
1140    	blusteri            	1  
1141    	blvd                	1  
1142    	bnaibrith           	1  
1143    	bo                  	5  
1144    	board               	63 
1145    	boarder             	5  
1146    	boardwalk           	1  
1147    	boast               	3  
1148    	boat                	117
1149    	boater              	1  
1150    	boatmen             	1  
1151    	bob                 	24 
1152    	bobbi               	6  
1153    	bobic               	1  
1154    	bodi                	188
1155    	bodien              	1  
1156    	bodin               	9  
1157    	bodon               	1  
1158    	bodyguard           	10 
1159    	boe                 	2  
1160    	bog                 	2  
1161    	boga                	1  
1162    	bogg                	1  
1163    	bogu                	4  
1164    	bohdan              	2  
1165    	boi                 	35 
1166    	boigni              	6  
1167    	boil                	1  
1168    	boister             	1  
1169    	bojic               	1  
1170    	bold                	3  
1171    	boldli              	1  
1172    	bolivia             	1  
1173    	bolona              	2  
1174    	bolster             	12 
1175    	bolt                	1  
1176    	bomb                	259
1177    	bombai              	5  
1178    	bombard             	2  
1179    	bombei              	1  
1180    	bomber              	57 
1181    	bombet              	2  
1182    	bombmak             	4  
1183    	bombshel            	1  
1184    	bond                	17 
1185    	bondjump            	1  
1186    	bone                	53 
1187    	bonecardi           	1  
1188    	bonfir              	3  
1189    	bonilla             	1  
1190    	bonni               	1  
1191    	bono                	1  
1192    	bonu                	1  
1193    	boo                 	3  
1194    	boobi               	3  
1195    	book                	26 
1196    	bookend             	1  
1197    	boom                	7  
1198    	boost               	14 
1199    	booster             	1  
1200    	boot                	5  
1201    	booth               	8  
1202    	bor                 	1  
1203    	border              	53 
1204    	bore                	3  
1205    	borg                	1  
1206    	bori                	7  
1207    	borisav             	1  
1208    	borislav            	3  
1209    	borisov             	1  
1210    	borivoj             	1  
1211    	bork                	1  
1212    	borka               	1  
1213    	born                	47 
1214    	borneo              	4  
1215    	borotra             	1  
1216    	borrow              	2  
1217    	borzon              	1  
1218    	bosnia              	16 
1219    	bosnian             	5  
1220    	boss                	10 
1221    	boston              	18 
1222    	botch               	5  
1223    	bother              	9  
1224    	bottl               	5  
1225    	bottom              	28 
1226    	bouak               	1  
1227    	boucher             	8  
1228    	bouffard            	1  
1229    	bought              	10 
1230    	boulevard           	1  
1231    	bounc               	7  
1232    	bound               	15 
1233    	boundari            	2  
1234    	bounti              	1  
1235    	bout                	5  
1236    	bow                 	11 
1237    	bowel               	2  
1238    	bowen               	2  
1239    	bowl                	1  
1240    	bowman              	1  
1241    	bowmen              	1  
1242    	bowrei              	1  
1243    	box                 	17 
1244    	boxer               	1  
1245    	boycot              	26 
1246    	boycott             	18 
1247    	boyd                	1  
1248    	boyfriend           	4  
1249    	bozov               	3  
1250    	braca               	2  
1251    	brace               	4  
1252    	braci               	1  
1253    	bracket             	1  
1254    	brad                	6  
1255    	bradi               	1  
1256    	bradman             	1  
1257    	bradshaw            	1  
